Date = 2020-03-04 17:28:41 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:41 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:43 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:43 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:43 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:43 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:28:48 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:48 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:50 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:50 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:50 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:50 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:28:55 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:55 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:57 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:57 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:57 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:57 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:02 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:02 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:04 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:04 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:04 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:04 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:09 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:09 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:11 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:11 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:11 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:11 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:16 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:16 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:18 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:18 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:18 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:18 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:23 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:23 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:25 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:25 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:25 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:25 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:30 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:30 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:32 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:32 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:32 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:32 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:37 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:37 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:39 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:39 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:39 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:39 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:44 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:44 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:47 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:47 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:47 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:47 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:52 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:52 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:29:54 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:29:54 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:29:54 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:29:54 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:29:59 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:29:59 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:30:01 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:30:01 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:30:01 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:30:01 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:30:06 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:30:06 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:30:08 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:30:08 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:30:08 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:30:08 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:30:13 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:30:13 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:30:15 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:30:15 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:30:15 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:30:15 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:30:20 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:30:20 | Message = MirasysVCAInterfaceService Connect(): Start
