Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  GILAT BAZAR CHOWKI 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GILAT BAZAR CHOWKI TOWARDS AIRPORT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GILAT BAZAR CHOWKI TOWARDS UP COLLEGE
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GILAT BAZAR CHOWKI TOWARDS SHIVPUR CHUNGI 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GILAT BAZAR CHOWKI TOWARDS BHOJUVIR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  CENTRAL JAIL 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  CENTRAL JAIL TOWARDS SHIVPUR CHUNGI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  CENTRAL JAIL PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  PADAMSHREE CHAURAHA 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  PADAMSHREE CHAURAHA TOWARDS SIGRA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  PADAMSHREE CHAURAHA TOWARDS ASSI GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  PADAMSHREE CHAURAHA TOWARDS BHU
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  PADAMSHREE CHAURAHA TOWARDS DURGA KUND
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  AURANGABAD TIRAHA 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AURANGABAD TIRAHA TOWRADS LAXSA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  AURANGABAD TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  TARNAPUL 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  TARNAPUL TOWARDS SHIVPUR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  TARNAPUL TOWARDS GILAT BAZAR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  NADESAR MASJID
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  NADESAR MASJID TOWARDS AASIYANA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  NADESAR MASJID TOWARDS DHAUSABAD
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  NADESAR MASJID TOWARDS DAINIK JAGRAN
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  CIRCUIT HOUSE TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  CIRCUIT HOUSE TIRAHA POLICE LINE
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  CIRCUIT HOUSE PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  JANGAM BADI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  JANGAM BARI TOWARDS GADOLIYA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  JANGAM BARI PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  KHARI KUAN TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  KHARI KUAN PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  KHARI KUAN TOWRADS REWARI TALAB
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  GILAT BAZAR CHUNGI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GILAT_BAZAR_CHUNGI_PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  GILAT_BAZAR_CHUNGI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  LAHURAVEER CHAURAHA 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LAHURAVEER CHAURAHA TOWARDS TELIYABAGH
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LAHURAVEER CHAURAHA TOWARDS LOHAMANDI
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LAHURAVIR CHAURAHA TOWARDS BENIYABAGH
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LAHURAVIR CHUARAHA TOWRADS MAIDAGIN
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SANTAN DHARAM
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SANATAN DHARAM PTZ
